sID,age,gender,cond,soa,rt,mr,rmv,mre,gameHr,driveHr,compHr,compensation
100,64,1,Ves,-Inf,1402.28,0,NaN,NaN,1,3,5,Declined
100,64,1,Com,-100,986.596666666667,0,98.8866666666658,16.2046855264611,1,3,5,Declined
100,64,1,Com,-50,965.05,0,86.7933333333327,14.3995416259727,1,3,5,Declined
100,64,1,Com,0,945.053333333333,0,58.1266666666665,12.2829833289923,1,3,5,Declined
100,64,1,Com,50,915.736666666667,0,92.8399999999987,15.0040684233839,1,3,5,Declined
100,64,1,Com,100,1043.03666666667,0,14.75,3.18846413062514,1,3,5,Declined
100,64,1,Vis,Inf,1041.47586206897,3.33333333333333,NaN,NaN,1,3,5,Declined
101,57,1,Ves,-Inf,986.995,33.3333333333333,NaN,NaN,1,4,5,Money
101,57,1,Com,-100,607.34,0,117.976666666666,25.9187880414232,1,4,5,Money
101,57,1,Com,-50,579.57,0,96.6499999999997,24.7145473676007,1,4,5,Money
101,57,1,Com,0,568.396666666667,0,105.066666666667,21.0373745652909,1,4,5,Money
101,57,1,Com,50,587.676666666667,0,99.4033333333339,18.3589643851095,1,4,5,Money
101,57,1,Com,100,618.883333333333,0,67.5266666666664,14.0236815173953,1,4,5,Money
101,57,1,Vis,Inf,719.83,0,NaN,NaN,1,4,5,Money
104,18,1,Ves,-Inf,848.633333333333,70,NaN,NaN,1,3,4,Credit
104,18,1,Com,-100,533.436666666667,0,109.35,5.95484356268072,1,3,4,Credit
104,18,1,Com,-50,423.9,0,68.4833333333338,18.0415560310381,1,3,4,Credit
104,18,1,Com,0,390.2,3.33333333333333,63.1399999999996,13.6036701834009,1,3,4,Credit
104,18,1,Com,50,396.4,0,62.3933333333328,15.1565309209212,1,3,4,Credit
104,18,1,Com,100,458.66,0,14.7333333333333,1.83071259381868,1,3,4,Credit
104,18,1,Vis,Inf,467.213333333333,0,NaN,NaN,1,3,4,Credit
105,18,0,Ves,-Inf,754.613793103448,3.33333333333333,NaN,NaN,3,3,5,Credit
105,18,0,Com,-100,567.873333333333,0,26.5366666666666,11.9617175428533,3,3,5,Credit
105,18,0,Com,-50,512.74,0,33.82,13.8295548123624,3,3,5,Credit
105,18,0,Com,0,513.186206896552,3.33333333333333,11.5766666666667,2.59576849046238,3,3,5,Credit
105,18,0,Com,50,508.253333333333,0,21.2866666666667,6.74764080264694,3,3,5,Credit
105,18,0,Com,100,503.3,0,21.8,7.65645927747095,3,3,5,Credit
105,18,0,Vis,Inf,545.03,0,NaN,NaN,3,3,5,Credit
106,18,0,Ves,-Inf,1505.63333333333,90,NaN,NaN,2,2,5,Credit
106,18,0,Com,-100,603.323333333333,0,181.726666666667,12.0280542810483,2,2,5,Credit
106,18,0,Com,-50,537.773333333333,0,94.2566666666667,15.41962001426,2,2,5,Credit
106,18,0,Com,0,474.3,0,58.0166666666666,19.0356427530954,2,2,5,Credit
106,18,0,Com,50,498.17,0,53.4199999999998,14.9609659504734,2,2,5,Credit
106,18,0,Com,100,514.876666666667,0,42.23,12.1090904952658,2,2,5,Credit
106,18,0,Vis,Inf,585.813333333333,0,NaN,NaN,2,2,5,Credit
107,18,0,Ves,-Inf,1163.40740740741,10,NaN,NaN,2,1,5,Credit
107,18,0,Com,-100,866.116666666667,0,86.9733333333334,14.0984527902671,2,1,5,Credit
107,18,0,Com,-50,821.876666666667,0,91.3366666666665,14.2329901210519,2,1,5,Credit
107,18,0,Com,0,817.25,0,55.3566666666666,10.0209189665296,2,1,5,Credit
107,18,0,Com,50,800.693333333333,0,61.9066666666668,11.8438050499119,2,1,5,Credit
107,18,0,Com,100,827.716666666667,0,57.24,8.86854081033467,2,1,5,Credit
107,18,0,Vis,Inf,908.266666666667,0,NaN,NaN,2,1,5,Credit
108,18,1,Ves,-Inf,982.720689655172,3.33333333333333,NaN,NaN,1,3,3,Credit
108,18,1,Com,-100,797.14,0,79.8233333333336,14.7273608991457,1,3,3,Credit
108,18,1,Com,-50,802.446666666667,0,38.2733333333335,9.30893145070148,1,3,3,Credit
108,18,1,Com,0,767.203333333333,0,36.6599999999997,8.09881650189264,1,3,3,Credit
108,18,1,Com,50,776.066666666666,0,39.08,7.03710210665861,1,3,3,Credit
108,18,1,Com,100,777.82,0,43.8766666666668,6.8270751145965,1,3,3,Credit
108,18,1,Vis,Inf,834.813333333334,0,NaN,NaN,1,3,3,Credit
109,19,1,Ves,-Inf,1334.24230769231,13.3333333333333,NaN,NaN,2,2,4,Credit
