X,subject,age,soa.mr,mr,cond.mr,soa.rt,rt,cond.rt,game.hr,drive.hr,computer.hr
1,1,64,MR0,0.13,Vest,RT0,1433.269231,Vest,1,3,5
83,1,64,MR1,0.17,Comb,RT1,1002.348,Comb,1,3,5
165,1,64,MR2,0.07,Comb,RT2,968.9714286,Comb,1,3,5
247,1,64,MR3,0.27,Comb,RT3,941.0681818,Comb,1,3,5
329,1,64,MR4,0.03,Comb,RT4,917.7241379,Comb,1,3,5
411,1,64,MR5,0.07,Comb,RT5,1036.542857,Comb,1,3,5
493,1,64,MR6,0.17,Vis,RT6,1048.924,Vis,1,3,5
2,2,57,MR0,0.37,Vest,RT0,954.8894737,Vest,1,4,5
84,2,57,MR1,0.1,Comb,RT1,612.5851852,Comb,1,4,5
166,2,57,MR2,0.2,Comb,RT2,585.4416667,Comb,1,4,5
248,2,57,MR3,0.1,Comb,RT3,576.1481481,Comb,1,4,5
330,2,57,MR4,0.3,Comb,RT4,606.1952381,Comb,1,4,5
412,2,57,MR5,0.13,Comb,RT5,626.8038462,Comb,1,4,5
494,2,57,MR6,0.17,Vis,RT6,710.552,Vis,1,4,5
3,3,18,MR0,0.7,Vest,RT0,848.6333333,Vest,1,3,4
85,3,18,MR1,0.17,Comb,RT1,551.72,Comb,1,3,4
167,3,18,MR2,0.1,Comb,RT2,422.8259259,Comb,1,3,4
249,3,18,MR3,0.33,Comb,RT3,394.23,Comb,1,3,4
331,3,18,MR4,0.2,Comb,RT4,398.15,Comb,1,3,4
413,3,18,MR5,0.3,Comb,RT5,462.4857143,Comb,1,3,4
495,3,18,MR6,0.27,Vis,RT6,476.5818182,Vis,1,3,4
4,4,18,MR0,0.23,Vest,RT0,811.026087,Vest,3,3,5
86,4,18,MR1,0.13,Comb,RT1,575.8576923,Comb,3,3,5
168,4,18,MR2,0.1,Comb,RT2,518.6962963,Comb,3,3,5
250,4,18,MR3,0.2,Comb,RT3,519.9833333,Comb,3,3,5
332,4,18,MR4,0.1,Comb,RT4,512.337037,Comb,3,3,5
414,4,18,MR5,0.1,Comb,RT5,501.7333333,Comb,3,3,5
496,4,18,MR6,0.13,Vis,RT6,544.7461538,Vis,3,3,5
5,5,18,MR0,0.9,Vest,RT0,1505.633333,Vest,2,2,5
87,5,18,MR1,0.27,Comb,RT1,601.6909091,Comb,2,2,5
169,5,18,MR2,0.17,Comb,RT2,530.584,Comb,2,2,5
251,5,18,MR3,0.17,Comb,RT3,475.512,Comb,2,2,5
333,5,18,MR4,0.23,Comb,RT4,506.3869565,Comb,2,2,5
415,5,18,MR5,0.23,Comb,RT5,516.3130435,Comb,2,2,5
497,5,18,MR6,0.23,Vis,RT6,594.8782609,Vis,2,2,5
6,6,18,MR0,0.17,Vest,RT0,1165.36,Vest,2,1,5
88,6,18,MR1,0.1,Comb,RT1,870.662963,Comb,2,1,5
170,6,18,MR2,0.1,Comb,RT2,818.8111111,Comb,2,1,5
252,6,18,MR3,0.13,Comb,RT3,817.1846154,Comb,2,1,5
334,6,18,MR4,0.13,Comb,RT4,790.6192308,Comb,2,1,5
416,6,18,MR5,0.27,Comb,RT5,840.1090909,Comb,2,1,5
498,6,18,MR6,0.2,Vis,RT6,905.6875,Vis,2,1,5
7,7,18,MR0,0.1,Vest,RT0,986.6814815,Vest,1,3,3
89,7,18,MR1,0.17,Comb,RT1,812.176,Comb,1,3,3
171,7,18,MR2,0.03,Comb,RT2,798.8758621,Comb,1,3,3
253,7,18,MR3,0.13,Comb,RT3,745.8807692,Comb,1,3,3
335,7,18,MR4,0.17,Comb,RT4,792.096,Comb,1,3,3
417,7,18,MR5,0.1,Comb,RT5,785.3222222,Comb,1,3,3
499,7,18,MR6,0.1,Vis,RT6,837.3740741,Vis,1,3,3
8,8,19,MR0,0.2,Vest,RT0,1341.141667,Vest,2,2,4
90,8,19,MR1,0,Comb,RT1,929.4233333,Comb,2,2,4
172,8,19,MR2,0,Comb,RT2,876.99,Comb,2,2,4
254,8,19,MR3,0.1,Comb,RT3,882.1444444,Comb,2,2,4
336,8,19,MR4,0.03,Comb,RT4,880.0206897,Comb,2,2,4
418,8,19,MR5,0,Comb,RT5,879.87,Comb,2,2,4
500,8,19,MR6,0.03,Vis,RT6,946.3,Vis,2,2,4
9,9,19,MR0,0.1,Vest,RT0,770.8740741,Vest,2,3,5
91,9,19,MR1,0.03,Comb,RT1,527.1344828,Comb,2,3,5
173,9,19,MR2,0.03,Comb,RT2,515.7034483,Comb,2,3,5
255,9,19,MR3,0.1,Comb,RT3,477.8296296,Comb,2,3,5
337,9,19,MR4,0.07,Comb,RT4,495.8178571,Comb,2,3,5
419,9,19,MR5,0.03,Comb,RT5,548.3448276,Comb,2,3,5
501,9,19,MR6,0.03,Vis,RT6,538.6482759,Vis,2,3,5
10,10,19,MR0,0.2,Vest,RT0,975.0166667,Vest,3,3,4
